yaw:  96.4322170421 Yaw vel:  -0.325 Yaw acc:  -9.77 yaw Deseada:  40.9730905082 Control: 1361.33894837 Error:  55.4591265339 
yaw:  96.4322170421 Yaw vel:  -0.325 Yaw acc:  -9.77 yaw Deseada:  36.3329377682 Control: 1349.73430501 Error:  60.0992792739 
yaw:  93.3842929363 Yaw vel:  -0.652 Yaw acc:  -9.77 yaw Deseada:  31.8761481639 Control: 1346.22432627 Error:  61.5081447724 
yaw:  93.3842929363 Yaw vel:  -0.652 Yaw acc:  -9.77 yaw Deseada:  27.6368702651 Control: 1335.61546213 Error:  65.7474226712 
yaw:  88.3371451397 Yaw vel:  -0.962 Yaw acc:  -9.85 yaw Deseada:  23.6455773984 Control: 1338.2750605 Error:  64.6915677413 
yaw:  88.3371451397 Yaw vel:  -0.962 Yaw acc:  -9.85 yaw Deseada:  19.9287078674 Control: 1328.96489852 Error:  68.4084372724 
yaw:  81.616908355 Yaw vel:  -1.202 Yaw acc:  -9.92 yaw Deseada:  16.508359422 Control: 1337.24106287 Error:  65.108548933 
yaw:  81.616908355 Yaw vel:  -1.202 Yaw acc:  -9.92 yaw Deseada:  13.4020419391 Control: 1329.45112967 Error:  68.2148664158 
yaw:  73.9110479522 Yaw vel:  -1.357 Yaw acc:  -9.99 yaw Deseada:  10.6224915015 Control: 1341.79716837 Error:  63.2885564508 
yaw:  73.9110479522 Yaw vel:  -1.357 Yaw acc:  -9.99 yaw Deseada:  8.17754825246 Control: 1335.65704077 Error:  65.7334996998 
yaw:  65.6785458135 Yaw vel:  -1.466 Yaw acc:  -10.11 yaw Deseada:  6.07009956192 Control: 1351.00195425 Error:  59.6084462516 
yaw:  65.6785458135 Yaw vel:  -1.466 Yaw acc:  -10.11 yaw Deseada:  4.29808917202 Control: 1346.542185 Error:  61.3804566415 
yaw:  56.7383677749 Yaw vel:  -1.475 Yaw acc:  -10.19 yaw Deseada:  2.85459212258 Control: 1365.31878987 Error:  53.8837756523 
yaw:  56.7383677749 Yaw vel:  -1.475 Yaw acc:  -10.19 yaw Deseada:  1.72795438475 Control: 1362.46972467 Error:  55.0104133902 
yaw:  48.0586760758 Yaw vel:  -1.439 Yaw acc:  -9.96 yaw Deseada:  0.901995277016 Control: 1382.13786407 Error:  47.1566807988 
yaw:  48.0586760758 Yaw vel:  -1.439 Yaw acc:  -9.96 yaw Deseada:  0.356269908474 Control: 1380.74193041 Error:  47.7024061673 
yaw:  40.023562989 Yaw vel:  -1.345 Yaw acc:  -9.99 yaw Deseada:  0.0663881010926 Control: 1400.13621307 Error:  39.9571748879 
yaw:  40.023562989 Yaw vel:  -1.345 Yaw acc:  -9.99 yaw Deseada:  0.00438549691869 Control: 1399.95182294 Error:  40.0191774921 
yaw:  32.4503790109 Yaw vel:  -1.229 Yaw acc:  -9.86 yaw Deseada:  0.139141867244 Control: 1419.2509098 Error:  32.3112371436 
yaw:  32.4503790109 Yaw vel:  -1.229 Yaw acc:  -9.86 yaw Deseada:  0.436841017643 Control: 1419.96727503 Error:  32.0135379932 
yaw:  25.4792796232 Yaw vel:  -1.102 Yaw acc:  -9.9 yaw Deseada:  0.861466133995 Control: 1438.48328718 Error:  24.6178134892 
